 ROA(C) before interest and depreciation before interest, Operating Expense Rate, Long-term Liability to Current Assets, Inventory/Current Liability, Total expense/Assets, Long-term fund suitability ratio (A), Inventory Turnover Rate (times), Current Asset Turnover Rate, Revenue per person, Research and development expense rate, Current Ratio, Tax rate (A), Total Asset Growth Rate, Revenue Per Share (Yuan ¥), Current Liabilities/Liability, Fixed Assets Turnover Frequency, Interest-bearing debt interest rate, Allocation rate per person, Total assets to GNP price, Contingent liabilities/Net worth, Total debt/Total net worth, Operating Gross Margin, Cash flow rate, Average Collection Days, Degree of Financial Leverage (DFL), Accounts Receivable Turnover, Net Value Growth Rate, Realized Sales Gross Profit Growth Rate,Cluster,Bankrupt?,Index
-0.9108980771429998,1.4241699302238375,0.09408951798244806,-0.05736245362401994,-0.5046685278649461,-0.7501020971364518,-0.8621108573760135,2.1259174165434036,-0.448414278382711,-1.2034841357927375,-0.35877397805196176,-1.0453461876003374,0.4711951238708512,-0.09150403335284943,-1.5640675845298606,-0.47320077029739827,-0.18332609506148748,-0.02351386492665328,-0.1135711522950985,0.35441659699653927,-0.18861245325520004,-0.8185831308169891,-0.27880955837571486,-0.6495625721380109,-0.12116581757647257,0.023336472340396923,-0.19458445780457814,-0.1703289270751109,1,0,0
-0.37730390420628646,1.4225527401409144,-0.17384876360011936,0.16801234838417037,-1.1618828672408505,0.1901840059069431,0.9926532200371196,-0.47073186737055667,1.3758214529994848,-1.2034841357927375,-0.5661830781588993,-1.0453461876003374,-2.4142657821451565,0.443802013577583,0.25472308812194216,-0.47281162598569726,-0.18466555262083362,-0.15872033713025788,-0.2937104779810418,-0.4914224272096703,2.207380536693607,-0.3495734019979578,-0.8746077235130723,-0.701320058625653,0.025172420731737036,0.0639367638125697,-0.06907297620291283,-0.014975605533194065,1,0,3
0.06560421700501971,1.4177041829112191,-0.2704746963784728,-0.29626793076543356,0.6762074253789059,0.5058039235805919,-0.861950211246305,2.126122216618198,1.8792060926186152,0.8355380494907766,-0.434479879821288,2.136349288717239,0.31608074194120783,1.6750826162273533,0.7485940343940631,-0.47194840536173754,-0.18337195403402665,-0.47424798681993047,-0.3640879972848189,0.051744535177525135,-0.029106227409418563,-0.4957307790126564,-0.30581236758462094,-0.4331537135695228,-0.0720775935221609,-0.07966521717283381,-0.19865534286619665,-0.0987004638735704,1,0,4
0.6615798653805564,1.4075112972300976,-0.08317853826451625,7.9160448821566805,-1.3690746987620488,2.1667246700602827,-0.8590038736042982,-0.4708852528104397,2.263026782538567,0.4119578250474151,-0.4565756581165627,-0.31909342539309515,-2.4142657743492686,1.5237385134456085,-0.47470836854571036,-0.4713570077273402,-0.18278494947833057,-0.36822584561616406,-0.20324246892836126,2.612938076323166,0.29947723236959056,-0.6343862529798754,-0.3996907128391018,-0.030905001559749415,-0.0819386899406712,-0.16226979278565828,0.26815768884489727,0.2386568833450213,1,0,5
-0.6748326540672716,1.3915654160629964,-0.23283152230666673,0.02087113250058458,-1.9258778654088484,-0.4090822624935694,1.1094116221977264,-0.4705157640691479,1.2303679343102396,0.21633776622373752,-0.5754512550452161,1.9094331524003032,0.32775022793637465,-0.875283925250541,0.11095893591570387,-0.4732069493043681,-0.18030959054350845,1.6450840908079574,2.4587761267826473,-0.18317039239242877,0.9761391395623169,-0.8125587576924153,-0.32096777968325707,0.8894331325373658,1.241833943378718,-0.22649568947373797,-0.15022598012269778,0.1121298736552196,1,0,6
0.5885295789380808,1.4091884042331395,-0.2704746963784728,-0.27826653065247325,-0.7975759075812314,2.6700215562181016,-0.8620430862136975,2.119106309403359,2.1077753442409426,0.6195417645292257,-0.6183471501979376,0.5537770492814134,0.7677601881285762,1.134600353798886,1.1047826039609647,-0.46721158010126307,-0.18232641771177582,-0.6869401576114121,-0.3008228284488952,0.6763436796445393,-0.11761220291845353,-0.5469214872736672,-0.26909783254947595,0.1632953001431067,-0.07646567790428116,-0.1835398822846134,0.013877755036113645,-0.06716124334280328,1,0,12
-0.418626186836736,1.3490860683685189,-0.2704746963784728,-0.21369762520211308,-1.351861183188141,1.9854223056822482,-0.8620994916050649,-0.4708716303673018,0.3114780488194467,0.8461493747149558,0.015257558443187645,0.8969931965136435,0.4878354425333666,-0.7150945037038898,0.9448920651770195,-0.4724972985233073,5.487073009600053,-0.6214462302912916,0.03326174349556144,1.0776400565741766,-0.7011440875579275,-0.7376002856130809,-0.4349874401948298,0.15706994525017398,-0.11638714413796346,-0.18293163944347174,-0.16666002753362158,-0.16556697079509483,1,0,16
0.7100961445938234,-0.7101480288609925,-0.2704746963784728,-0.07574771276442442,2.27402399962307,0.19749149207329078,-0.8621096552073703,2.125199647882095,0.03236588237095231,-1.2034841357927375,-0.42926178574784957,1.339366375376928,0.49670417121710936,2.6252856761567704,1.183473216580075,-0.4705496915175594,-0.18712562762946855,-0.7484329595867378,-0.21664659397965158,-0.4914224272096703,0.5637238893165806,0.1228596338219497,0.03098569566242411,-1.0394527682236334,-0.11951567029770853,1.6699571803374107,-0.1042631311934623,-0.04761597005012553,1,0,19
0.46741317423921214,1.3248028554321054,0.3943898522011343,-0.11782115231431074,-1.6686648264792252,-0.6252296551369482,-0.8621099284720899,-0.4708888408613039,1.020249943132853,0.3064668027598106,-0.00679385722964401,-1.0453461876003374,-2.4142657539376007,2.5229887112465956,-1.7615102486285932,-0.4731760537670352,-0.18426182860126822,1.4308234616535467,0.8479865752084288,-0.4914224272096703,0.9931753137533468,-0.2115825761036582,-0.5591452477266171,-0.8718921921563352,-0.04529064845083124,0.31930766166620406,0.00563550133478002,0.2077809174941279,1,0,21
1.2384531518342499,1.4199021432804313,-0.1961129641736101,0.0012839790250594061,-0.6264387777541346,-0.7584355995634512,-0.862115884948873,2.1262774646912184,1.9010739962027274,0.4947729287517719,-0.3809591520723663,0.8531215946725466,0.6043436285505717,1.1814192370292216,0.0015270340766531702,-0.47314468452381503,-0.18372053852797243,2.023537431114435,0.7271533961752429,-0.4914224272096703,-0.4031357727508451,-0.10116795737337939,0.2195267941502288,-0.8777520635247414,-0.10884937488611186,0.33476089833860495,-0.06794798484703231,-0.06166313771534353,1,0,27
-0.20665741150541314,1.4290138099156424,-0.2704746963784728,-0.19521694476548515,-0.1401392425618863,0.5023829035429681,-0.8620990818108715,-0.47087653746563096,-0.18978698453015913,-1.2034841357927375,0.62268438089352,0.7330490596435223,0.46214142345577786,0.25833718733236116,1.2648540737889984,-0.4729683884587308,-0.185243695476653,-0.6456260698324537,-0.343940293530707,-0.4914224272096703,-0.534739053191311,-0.3373672679069497,-0.06717943653905686,0.21880568577150106,-0.1157022902092411,-0.18840690350231695,-0.07520612958693032,-0.08221479091420796,1,0,28
-0.14021703977066838,1.366556965669812,-0.11686681095769584,-0.24320972500503696,-1.8264384250222703,2.724514097943351,-0.8620437416745321,2.1254971862059007,2.385713000563831,0.30230839247131064,-0.7113725322479184,-0.3916223666450397,0.6341563907427556,2.7729065696862745,-0.24671728937669044,-0.4624038263770326,-0.18369302033558693,-0.44956808930088415,5.211941359095916,-0.24855455146624122,0.3717742256415453,-0.7488108299486125,-0.36741759604933044,-0.23270940945276677,-0.11088445565401374,-0.13013033939011992,-0.13166021460657618,-0.03544261803705798,1,0,36
